State,Industry,Series ID,Month,Turnover
Queensland,Department stores,A3349562T,1982 Apr,67.5
Queensland,Department stores,A3349562T,1982 May,69.7
Queensland,Department stores,A3349562T,1982 Jun,60.7
Queensland,Department stores,A3349562T,1982 Jul,67.9
Queensland,Department stores,A3349562T,1982 Aug,66.5
Queensland,Department stores,A3349562T,1982 Sep,73.4
Queensland,Department stores,A3349562T,1982 Oct,68.3
Queensland,Department stores,A3349562T,1982 Nov,73.4
Queensland,Department stores,A3349562T,1982 Dec,127.9
Queensland,Department stores,A3349562T,1983 Jan,64
Queensland,Department stores,A3349562T,1983 Feb,53.5
Queensland,Department stores,A3349562T,1983 Mar,64.4
Queensland,Department stores,A3349562T,1983 Apr,69.3
Queensland,Department stores,A3349562T,1983 May,69.3
Queensland,Department stores,A3349562T,1983 Jun,72.6
Queensland,Department stores,A3349562T,1983 Jul,65.9
Queensland,Department stores,A3349562T,1983 Aug,60.4
Queensland,Department stores,A3349562T,1983 Sep,73.9
Queensland,Department stores,A3349562T,1983 Oct,65.5
Queensland,Department stores,A3349562T,1983 Nov,77.6
Queensland,Department stores,A3349562T,1983 Dec,132.3
Queensland,Department stores,A3349562T,1984 Jan,65.9
Queensland,Department stores,A3349562T,1984 Feb,53.8
Queensland,Department stores,A3349562T,1984 Mar,62
Queensland,Department stores,A3349562T,1984 Apr,69.4
Queensland,Department stores,A3349562T,1984 May,75.3
Queensland,Department stores,A3349562T,1984 Jun,70.6
Queensland,Department stores,A3349562T,1984 Jul,72.7
Queensland,Department stores,A3349562T,1984 Aug,68.5
Queensland,Department stores,A3349562T,1984 Sep,76.3
Queensland,Department stores,A3349562T,1984 Oct,76.7
Queensland,Department stores,A3349562T,1984 Nov,85.2
Queensland,Department stores,A3349562T,1984 Dec,142.5
Queensland,Department stores,A3349562T,1985 Jan,71.1
Queensland,Department stores,A3349562T,1985 Feb,58.3
Queensland,Department stores,A3349562T,1985 Mar,69.6
Queensland,Department stores,A3349562T,1985 Apr,75.7
Queensland,Department stores,A3349562T,1985 May,90.1
Queensland,Department stores,A3349562T,1985 Jun,76.7
Queensland,Department stores,A3349562T,1985 Jul,78.4
Queensland,Department stores,A3349562T,1985 Aug,75
Queensland,Department stores,A3349562T,1985 Sep,80.1
Queensland,Department stores,A3349562T,1985 Oct,82.6
Queensland,Department stores,A3349562T,1985 Nov,87.7
Queensland,Department stores,A3349562T,1985 Dec,158.2
Queensland,Department stores,A3349562T,1986 Jan,73.4
Queensland,Department stores,A3349562T,1986 Feb,64.7
Queensland,Department stores,A3349562T,1986 Mar,71.7
Queensland,Department stores,A3349562T,1986 Apr,75.9
Queensland,Department stores,A3349562T,1986 May,90.3
Queensland,Department stores,A3349562T,1986 Jun,71.2
Queensland,Department stores,A3349562T,1986 Jul,82.9
Queensland,Department stores,A3349562T,1986 Aug,78.3
Queensland,Department stores,A3349562T,1986 Sep,94
Queensland,Department stores,A3349562T,1986 Oct,88.5
Queensland,Department stores,A3349562T,1986 Nov,89
Queensland,Department stores,A3349562T,1986 Dec,193.2
Queensland,Department stores,A3349562T,1987 Jan,89.1
Queensland,Department stores,A3349562T,1987 Feb,66.5
Queensland,Department stores,A3349562T,1987 Mar,77.2
Queensland,Department stores,A3349562T,1987 Apr,91.2
Queensland,Department stores,A3349562T,1987 May,97.3
Queensland,Department stores,A3349562T,1987 Jun,91
Queensland,Department stores,A3349562T,1987 Jul,100.2
Queensland,Department stores,A3349562T,1987 Aug,83.5
Queensland,Department stores,A3349562T,1987 Sep,99
Queensland,Department stores,A3349562T,1987 Oct,103.6
Queensland,Department stores,A3349562T,1987 Nov,100
Queensland,Department stores,A3349562T,1987 Dec,209.2
Queensland,Department stores,A3349562T,1988 Jan,99.9
Queensland,Department stores,A3349562T,1988 Feb,74.7
Queensland,Department stores,A3349562T,1988 Mar,97.4
Queensland,Department stores,A3349562T,1988 Apr,106.1
Queensland,Department stores,A3349562T,1988 May,106.7
Queensland,Department stores,A3349562T,1988 Jun,114.9
Queensland,Department stores,A3349562T,1988 Jul,103.1
Queensland,Department stores,A3349562T,1988 Aug,101.9
Queensland,Department stores,A3349562T,1988 Sep,115.8
Queensland,Department stores,A3349562T,1988 Oct,115.1
Queensland,Department stores,A3349562T,1988 Nov,126.8
Queensland,Department stores,A3349562T,1988 Dec,238
Queensland,Department stores,A3349562T,1989 Jan,98.8
Queensland,Department stores,A3349562T,1989 Feb,89.7
Queensland,Department stores,A3349562T,1989 Mar,110.4
Queensland,Department stores,A3349562T,1989 Apr,101.4
Queensland,Department stores,A3349562T,1989 May,117.1
Queensland,Department stores,A3349562T,1989 Jun,127.8
Queensland,Department stores,A3349562T,1989 Jul,111.3
Queensland,Department stores,A3349562T,1989 Aug,118.9
Queensland,Department stores,A3349562T,1989 Sep,128
Queensland,Department stores,A3349562T,1989 Oct,123.1
Queensland,Department stores,A3349562T,1989 Nov,142.3
Queensland,Department stores,A3349562T,1989 Dec,239.3
Queensland,Department stores,A3349562T,1990 Jan,113.6
Queensland,Department stores,A3349562T,1990 Feb,96.6
Queensland,Department stores,A3349562T,1990 Mar,119.4
Queensland,Department stores,A3349562T,1990 Apr,112.6
Queensland,Department stores,A3349562T,1990 May,127.6
Queensland,Department stores,A3349562T,1990 Jun,140.3
Queensland,Department stores,A3349562T,1990 Jul,109.1
Queensland,Department stores,A3349562T,1990 Aug,124.7
Queensland,Department stores,A3349562T,1990 Sep,126.4
Queensland,Department stores,A3349562T,1990 Oct,129.7
Queensland,Department stores,A3349562T,1990 Nov,149.1
Queensland,Department stores,A3349562T,1990 Dec,241.4
Queensland,Department stores,A3349562T,1991 Jan,116.4
Queensland,Department stores,A3349562T,1991 Feb,98.6
Queensland,Department stores,A3349562T,1991 Mar,114
Queensland,Department stores,A3349562T,1991 Apr,115.3
Queensland,Department stores,A3349562T,1991 May,129.6
Queensland,Department stores,A3349562T,1991 Jun,124.7
Queensland,Department stores,A3349562T,1991 Jul,121.5
Queensland,Department stores,A3349562T,1991 Aug,127.5
Queensland,Department stores,A3349562T,1991 Sep,125.7
Queensland,Department stores,A3349562T,1991 Oct,137.8
Queensland,Department stores,A3349562T,1991 Nov,154.6
Queensland,Department stores,A3349562T,1991 Dec,247.1
Queensland,Department stores,A3349562T,1992 Jan,123.8
Queensland,Department stores,A3349562T,1992 Feb,106.8
Queensland,Department stores,A3349562T,1992 Mar,113.5
Queensland,Department stores,A3349562T,1992 Apr,129.4
Queensland,Department stores,A3349562T,1992 May,140.7
Queensland,Department stores,A3349562T,1992 Jun,139.1
Queensland,Department stores,A3349562T,1992 Jul,131.2
Queensland,Department stores,A3349562T,1992 Aug,124.7
Queensland,Department stores,A3349562T,1992 Sep,144.4
Queensland,Department stores,A3349562T,1992 Oct,153.1
Queensland,Department stores,A3349562T,1992 Nov,163.6
Queensland,Department stores,A3349562T,1992 Dec,268.7
Queensland,Department stores,A3349562T,1993 Jan,131.3
Queensland,Department stores,A3349562T,1993 Feb,108.1
Queensland,Department stores,A3349562T,1993 Mar,119.6
Queensland,Department stores,A3349562T,1993 Apr,134.3
Queensland,Department stores,A3349562T,1993 May,140.5
Queensland,Department stores,A3349562T,1993 Jun,145.5
Queensland,Department stores,A3349562T,1993 Jul,128.7
Queensland,Department stores,A3349562T,1993 Aug,126
Queensland,Department stores,A3349562T,1993 Sep,145.1
Queensland,Department stores,A3349562T,1993 Oct,149.9
Queensland,Department stores,A3349562T,1993 Nov,158.6
Queensland,Department stores,A3349562T,1993 Dec,274.5
Queensland,Department stores,A3349562T,1994 Jan,127.7
Queensland,Department stores,A3349562T,1994 Feb,110.1
Queensland,Department stores,A3349562T,1994 Mar,133.4
Queensland,Department stores,A3349562T,1994 Apr,134.1
Queensland,Department stores,A3349562T,1994 May,146.5
Queensland,Department stores,A3349562T,1994 Jun,154.9
Queensland,Department stores,A3349562T,1994 Jul,129.7
Queensland,Department stores,A3349562T,1994 Aug,138.7
Queensland,Department stores,A3349562T,1994 Sep,156.6
Queensland,Department stores,A3349562T,1994 Oct,163.5
Queensland,Department stores,A3349562T,1994 Nov,171.6
Queensland,Department stores,A3349562T,1994 Dec,303.7
Queensland,Department stores,A3349562T,1995 Jan,132.9
Queensland,Department stores,A3349562T,1995 Feb,118.8
Queensland,Department stores,A3349562T,1995 Mar,134
Queensland,Department stores,A3349562T,1995 Apr,147.9
Queensland,Department stores,A3349562T,1995 May,154.6
Queensland,Department stores,A3349562T,1995 Jun,163.5
Queensland,Department stores,A3349562T,1995 Jul,141.7
Queensland,Department stores,A3349562T,1995 Aug,155.1
Queensland,Department stores,A3349562T,1995 Sep,155.5
Queensland,Department stores,A3349562T,1995 Oct,160.3
Queensland,Department stores,A3349562T,1995 Nov,182.2
Queensland,Department stores,A3349562T,1995 Dec,302.7
Queensland,Department stores,A3349562T,1996 Jan,147.1
Queensland,Department stores,A3349562T,1996 Feb,124.5
Queensland,Department stores,A3349562T,1996 Mar,130.7
Queensland,Department stores,A3349562T,1996 Apr,141.8
Queensland,Department stores,A3349562T,1996 May,159.9
Queensland,Department stores,A3349562T,1996 Jun,153.8
Queensland,Department stores,A3349562T,1996 Jul,158.2
Queensland,Department stores,A3349562T,1996 Aug,156.5
Queensland,Department stores,A3349562T,1996 Sep,152.1
Queensland,Department stores,A3349562T,1996 Oct,164.5
Queensland,Department stores,A3349562T,1996 Nov,187.3
Queensland,Department stores,A3349562T,1996 Dec,305.4
Queensland,Department stores,A3349562T,1997 Jan,148.5
Queensland,Department stores,A3349562T,1997 Feb,120.3
Queensland,Department stores,A3349562T,1997 Mar,139.5
Queensland,Department stores,A3349562T,1997 Apr,135.4
Queensland,Department stores,A3349562T,1997 May,161.5
Queensland,Department stores,A3349562T,1997 Jun,136.5
Queensland,Department stores,A3349562T,1997 Jul,158.2
Queensland,Department stores,A3349562T,1997 Aug,142.8
Queensland,Department stores,A3349562T,1997 Sep,163.3
Queensland,Department stores,A3349562T,1997 Oct,164
Queensland,Department stores,A3349562T,1997 Nov,182.4
Queensland,Department stores,A3349562T,1997 Dec,309.6
Queensland,Department stores,A3349562T,1998 Jan,153.2
Queensland,Department stores,A3349562T,1998 Feb,116.1
Queensland,Department stores,A3349562T,1998 Mar,129
Queensland,Department stores,A3349562T,1998 Apr,150.5
Queensland,Department stores,A3349562T,1998 May,152.5
Queensland,Department stores,A3349562T,1998 Jun,140.4
Queensland,Department stores,A3349562T,1998 Jul,164.4
Queensland,Department stores,A3349562T,1998 Aug,148.1
Queensland,Department stores,A3349562T,1998 Sep,162.8
Queensland,Department stores,A3349562T,1998 Oct,172.7
Queensland,Department stores,A3349562T,1998 Nov,184.3
Queensland,Department stores,A3349562T,1998 Dec,319.5
Queensland,Department stores,A3349562T,1999 Jan,156.9
Queensland,Department stores,A3349562T,1999 Feb,120.2
Queensland,Department stores,A3349562T,1999 Mar,143.4
Queensland,Department stores,A3349562T,1999 Apr,152.9
Queensland,Department stores,A3349562T,1999 May,158.9
Queensland,Department stores,A3349562T,1999 Jun,156.7
Queensland,Department stores,A3349562T,1999 Jul,174.4
Queensland,Department stores,A3349562T,1999 Aug,153.5
Queensland,Department stores,A3349562T,1999 Sep,173.6
Queensland,Department stores,A3349562T,1999 Oct,173.1
Queensland,Department stores,A3349562T,1999 Nov,195.7
Queensland,Department stores,A3349562T,1999 Dec,332.2
Queensland,Department stores,A3349562T,2000 Jan,155.1
Queensland,Department stores,A3349562T,2000 Feb,134.3
Queensland,Department stores,A3349562T,2000 Mar,144
Queensland,Department stores,A3349562T,2000 Apr,168.7
Queensland,Department stores,A3349562T,2000 May,162.3
Queensland,Department stores,A3349562T,2000 Jun,189.3
Queensland,Department stores,A3349562T,2000 Jul,147.9
Queensland,Department stores,A3349562T,2000 Aug,176.6
Queensland,Department stores,A3349562T,2000 Sep,179.9
Queensland,Department stores,A3349562T,2000 Oct,178.8
Queensland,Department stores,A3349562T,2000 Nov,197.8
Queensland,Department stores,A3349562T,2000 Dec,353.2
Queensland,Department stores,A3349562T,2001 Jan,165.6
Queensland,Department stores,A3349562T,2001 Feb,134.9
Queensland,Department stores,A3349562T,2001 Mar,159
Queensland,Department stores,A3349562T,2001 Apr,168.7
Queensland,Department stores,A3349562T,2001 May,180
Queensland,Department stores,A3349562T,2001 Jun,173.4
